SimpleName,BasicCode,SampleCode,CaseCode,StructureCode,StructureNo,Structure,Material,Description,Layers,Treatment,Thickness,Weight,PressureDrop,Quality,Filt1,Filt2,Filt3,Filt4,Filt5,Filt6,Filt7,Filt8,Filt9,Filt10,Filt11,Filt12,Filt13,Filt14,Filt15,Filt16,Wetting (% mass change)
White Filti,nW11,nW11,nW11,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,1,None,,,58,73,0.032,0.022,0.017,0.015,0.014,0.01,0.008,0.007,0.006,0.007,0.008,0,0,0,0,0,
White Filti,nW11,nW11,nW11 WD,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,1,Washed,,,14,35,0.785,0.735,0.662,0.612,0.577,0.481,0.424,0.392,0.351,0.316,0.241,0.185,0.289,0,0,0,
White Filti,nW11,nW11,nW11 WD,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,1,Washed,,,65,13,0.662,0.581,0.489,0.435,0.386,0.3,0.261,0.232,0.2,0.196,0.165,0.28,0.222,0,0,0,
White Filti,nW11,nW11,nW11 WD,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,1,Washed,,,19,17,0.84,0.81,0.759,0.729,0.703,0.635,0.582,0.559,0.509,0.437,0.445,0.227,0.391,0.5,0,0,
White Filti,nW11,nW11,nW11 WD,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,1,Washed,,,38,14,0.777,0.734,0.657,0.591,0.533,0.451,0.402,0.349,0.266,0.157,0.112,0.075,0.125,0.333,0,0,
White Filti,nW11,nW11,nW11 WDIPA,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,1,WashedIPA,,,17,7,0.951,0.934,0.906,0.884,0.859,0.789,0.763,0.73,0.69,0.619,0.591,0.496,0.433,0.333,0,0,
White Filti,nW11,nW11,nW11 WDIPA,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,1,WashedIPA,,,65,9,0.774,0.69,0.6,0.543,0.493,0.404,0.37,0.331,0.29,0.243,0.224,0.25,0.1,0,0,0,
White Filti,nW11,nW11,nW11 WDIPA,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,1,WashedIPA,,,20,16,0.842,0.805,0.76,0.726,0.709,0.631,0.577,0.547,0.486,0.46,0.386,0.386,0.227,0.25,0.333,0,
White Filti,nW11,nW11,nW11 WDIPA,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,1,WashedIPA,,,41,10,0.828,0.782,0.722,0.671,0.622,0.556,0.488,0.429,0.382,0.348,0.265,0.117,0.25,0,0,0,
White Filti,nW11,nW11x2,nW11 IPAx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,IPA,,,123,55,0.005,0.003,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11 IPAx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,IPA,,,148,43,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11 IPAx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,IPA,,,15,20,0.838,0.805,0.76,0.738,0.704,0.648,0.634,0.597,0.563,0.478,0.387,0.317,0.268,0,0,0,
White Filti,nW11,nW11x2,nW11 IPAx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,IPA,,,117,55,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0,0.001,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11 IPAx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,IPA,,,135,42,0.006,0.005,0.004,0.003,0.003,0.002,0.002,0.001,0,0.001,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11 IPAx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,IPA,,,103,15,0.215,0.216,0.218,0.22,0.222,0.22,0.223,0.228,0.245,0.239,0.195,0.237,0.062,1,0,0,
White Filti,nW11,nW11x2,nW11 IPAx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,IPA,,,158,43,0.003,0.002,0.001,0.001,0.001,0,0,0.001,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,1.68,13.2,25,68,0.401,0.311,0.226,0.181,0.147,0.104,0.081,0.066,0.048,0.034,0.026,0.031,0,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,1.52,17.4,140,55,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,1.56,15.8,119,55,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,1.54,15.2,100,82,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,1.6,15.4,125,52,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,,,22,75,0.747,0.66,0.553,0.497,0.453,0.356,0.308,0.278,0.247,0.213,0.165,0.121,0.057,0.25,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,,,106,71,0.002,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,,,115,56,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,,,20,71,0.475,0.378,0.287,0.24,0.194,0.137,0.108,0.091,0.071,0.05,0.039,0.032,0.014,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,,,101,64,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,,,109,47,0.009,0.008,0.007,0.006,0.005,0.004,0.003,0.002,0.002,0.002,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,,,93,65,0.005,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11x2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,None,,,117,77,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x2,nW11 WDx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,Washed,,,64,12,0.663,0.608,0.527,0.473,0.427,0.323,0.255,0.214,0.172,0.126,0.098,0.059,0.057,0,0,0,
White Filti,nW11,nW11x2,nW11 WDx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,Washed,,,76,18,0.486,0.39,0.302,0.249,0.206,0.146,0.103,0.086,0.067,0.052,0.028,0,0.062,0,0,0,
White Filti,nW11,nW11x2,nW11 WDx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,Washed,,,37,20,0.674,0.607,0.533,0.482,0.447,0.364,0.301,0.276,0.226,0.206,0.127,0.072,0.048,0.4,0,0,
White Filti,nW11,nW11x2,nW11 WDx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,Washed,,,72,12,0.661,0.597,0.505,0.431,0.378,0.291,0.254,0.203,0.131,0.055,0.048,0.031,0,0,0,0,
White Filti,nW11,nW11x2,nW11 WDIPAx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,WashedIPA,,,70,7,0.87,0.798,0.692,0.621,0.568,0.43,0.368,0.308,0.258,0.197,0.152,0.094,0.048,0.059,0,0,
White Filti,nW11,nW11x2,nW11 WDIPAx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,WashedIPA,,,76,13,0.669,0.558,0.451,0.383,0.321,0.241,0.207,0.169,0.136,0.104,0.127,0.108,0.25,0,0,0,
White Filti,nW11,nW11x2,nW11 WDIPAx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,WashedIPA,,,39,11,0.775,0.738,0.689,0.656,0.633,0.558,0.49,0.458,0.397,0.321,0.282,0.126,0.059,0,0,0,
White Filti,nW11,nW11x2,nW11 WDIPAx2,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,2,WashedIPA,,,77,8,0.718,0.656,0.594,0.527,0.455,0.381,0.324,0.288,0.243,0.195,0.148,0.057,0.062,0,0,0,
White Filti,nW11,nW11x3,nW11x3,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,3,None,2.35,18.9,43,59,0.187,0.139,0.098,0.078,0.063,0.038,0.027,0.02,0.014,0.008,0.003,0.002,0,0,0,0,
White Filti,nW11,nW11x3,nW11x3,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,3,None,2.35,18.9,43,60,0.223,0.151,0.098,0.076,0.058,0.034,0.024,0.018,0.012,0.007,0.003,0.003,0,0,0,0,
White Filti,nW11,nW11x3,nW11x3,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,3,None,2.35,18.9,44,59,0.223,0.151,0.098,0.076,0.058,0.034,0.024,0.018,0.012,0.007,0.003,0.003,0,0,0,0,
White Filti,nW11,nW11x3,nW11x3,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,3,None,2.35,18.9,44,52,0.272,0.198,0.133,0.103,0.081,0.047,0.032,0.022,0.017,0.009,0.003,0.008,0,0,0,0,
White Filti,nW11,nW11x3,nW11x3,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,3,None,2.44,19.4,47,59,0.187,0.13,0.083,0.062,0.047,0.029,0.02,0.014,0.01,0.007,0.005,0,0,0,0,0,
White Filti,nW11,nW11x3,nW11x3,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,3,None,2.34,23.1,180,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x3,nW11x3,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,3,None,2.29,22.9,162,52,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
White Filti,nW11,nW11x3,nW11x3,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,3,None,,,42,61,0.401,0.311,0.226,0.181,0.147,0.104,0.081,0.066,0.048,0.034,0.026,0.031,0,0,0,0,
White Filti,nW11,nW11x3,nW11x3,nW,4,Nonwoven,Polypropylene/Nanofiber/Polyester composite,White Filti,3,None,,,38,51,0.187,0.13,0.083,0.062,0.047,0.029,0.02,0.014,0.01,0.007,0.005,0,0,0,0,0,
Surgical mask,ASTM2,ASTM2,ASTM2,ML,5,Multilayer,"Polypropylene, wet-laid cellulose","ASTM Level 2 Primaguard surgical mask, latex free",1,None,,68,20,383,0.04,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,NaN,
Surgical mask,ASTM2,ASTM2,ASTM2,ML,5,Multilayer,"Polypropylene, wet-laid cellulose","ASTM Level 2 Primaguard surgical mask, latex free",1,None,0.34,68,21,386,0.04,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,
Surgical mask,ASTM2,ASTM2,ASTM2 old,ML,5,Multilayer,"Polypropylene, wet-laid cellulose","ASTM Level 2 Primaguard surgical mask, latex free, old",1,Old,,68,27,49,1.04,1.01,0.88,0.79,0.67,0.5,0.41,0.35,0.27,0.17,0.09,0.04,0.02,0.01,0,0,
"N95, 3M 1860",N95,N95,N95,ML,5,Multilayer,"Polypropylene, polyester","Surgical N95 mask, water resistant ",1,None,,335,41,#NUM!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,
"N95, 3M 1860",N95,N95,N95 IPA,ML,5,Multilayer,"Polypropylene, polyester","Surgical N95 mask, water resistant ",1,IPA,,335,45,92,0.33,0.26,0.17,0.12,0.08,0.04,0.03,0.02,0.02,0.01,0,0,0,0,0,NaN,
"N95, 3M 1860",N95,N95,N95 IPA,ML,5,Multilayer,"Polypropylene, polyester","Surgical N95 mask, water resistant ",1,IPA,,335,46,87,0.36,0.28,0.18,0.13,0.09,0.05,0.03,0.03,0.02,0.01,0.01,0,0,0,0,NaN,
"N95, 3M 1860",N95,N95,N95 IPA,ML,5,Multilayer,"Polypropylene, polyester","Surgical N95 mask, water resistant ",1,IPA,,335,47,85,0.37,0.28,0.19,0.13,0.09,0.05,0.03,0.03,0.02,0.01,0,0.01,0.01,0,0,NaN,
"N95, 3M 1860",N95,N95,N95 IPA,ML,5,Multilayer,"Polypropylene, polyester","Surgical N95 mask, water resistant ",1,IPA,,335,46,89,0.37,0.29,0.19,0.14,0.09,0.05,0.03,0.03,0.02,0.01,0,0,0,0,0,NaN,
"N95, 3M 1860",N95,N95,N95 HSx12,ML,5,Multilayer,"Polypropylene, polyester","Surgical N95 mask, water resistant ",1,Heat treated,,335,53,#NUM!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Non-medical mask,NMM,NMM,NMM,ML,5,Multilayer,,Greenlife non-medical mask from London Drugs,-,None,0.45,71,25,70,0.99,0.93,0.78,0.67,0.54,0.37,0.29,0.24,0.17,0.1,0.05,0.02,0.01,0,0,0,49%
Silk + Polyester,W16+W11,W16+W11,W16+W11,ML,5,Multilayer,,W16+W11,2,None,,205,54,9,1.07,1.05,0.99,0.96,0.9,0.76,0.71,0.67,0.62,0.55,0.5,0.41,0.38,0.38,0.56,0,
"Polyester satin + H400x2 + Cotton, salmon",Combo B,Combo B,Combo B,ML,5,Multilayer,,"Polyester satin + H400x2 + Cotton blend, dense, salmon",3,None,,408,80,69,0.23,0.17,0.1,0.06,0.04,0.02,0.01,0.01,0,0,0,0,0,0,0,NaN,
Quilting cotton + Dried baby wipe + Quilting cotton,Combo C,Combo C,Combo C,ML,5,Multilayer,,Quilting cotton + Dried baby wipe + Quilting cotton,3,None,,262,17,34,0.97,0.95,0.89,0.85,0.78,0.69,0.64,0.61,0.56,0.47,0.39,0.27,0.18,0.18,0,0,
White Filti & Flannel,Combo D,Combo D,Combo D,ML,5,Multilayer,,White Filti + Flannel,1,None,2.3,26.1,80,68,0.035,0.016,0.007,0.004,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,
White Filti & Flannel,Combo D,Combo D,Combo D,ML,5,Multilayer,,White Filti + Flannel,1,None,2.3,24.7,90,49,0.036,0.022,0.014,0.012,0.01,0.007,0.006,0.005,0.004,0.004,0.002,0.003,0,0,0,0,
K4x2 + nW5x3,Combo E,Combo E,Combo E,ML,5,Multilayer,,K4 + nW5 + nW5 + nW5 + K4,5,None,,841,29,41,0.75,0.71,0.64,0.58,0.53,0.43,0.38,0.35,0.3,0.23,0.16,0.08,0.07,NaN,NaN,NaN,
